id,label,volume,number,date,pages
nla.obj-526728979,,74,3824,1953-05-27,36
nla.obj-526728998,,74,3825,1953-06-03,36
nla.obj-526729010,,74,3826,1953-06-10,36
nla.obj-536996802,,74,3827,1953-06-17,36
nla.obj-536996921,,74,3828,1953-06-24,36
nla.obj-537001966,,74,3829,1953-07-01,36
nla.obj-537010032,,74,3830,1953-07-08,36
nla.obj-526781070,,74,3831,1953-07-15,36
nla.obj-526781244,,74,3832,1953-07-22,36
nla.obj-526781357,,74,3833,1953-07-29,36
nla.obj-526781399,,74,3834,1953-08-05,36
nla.obj-526781542,,74,3835,1953-08-12,36
nla.obj-526781679,,74,3836,1953-08-19,36
nla.obj-526781767,,74,3837,1953-08-26,36
nla.obj-526781860,,74,3838,1953-09-02,44
nla.obj-526781996,,74,3839,1953-09-09,36
nla.obj-526782087,,74,3840,1953-09-16,36
nla.obj-526823145,,74,3841,1953-09-23,36
nla.obj-526823277,,74,3842,1953-09-30,36
nla.obj-537013540,,74,3843,1953-10-07,36
nla.obj-526823290,,74,3844,1953-10-14,36
nla.obj-526823336,,74,3845,1953-10-21,36
nla.obj-526823407,,74,3846,1953-10-28,36
nla.obj-526823486,,74,3847,1953-11-04,36
nla.obj-526823527,,74,3848,1953-11-11,36
nla.obj-526823542,,74,3849,1953-11-18,36
nla.obj-526823738,,74,3850,1953-11-25,36
nla.obj-526823772,,74,3851,1953-12-02,36
nla.obj-527657281,,74,3852,1953-12-09,36
nla.obj-527657306,CHRISTMAS NUMBER,74,3853,1953-12-16,52
nla.obj-537017910,,74,3854,1953-12-23,36
nla.obj-527657322,,74,3855,1953-12-30,36
nla.obj-537028680,,75,3856,1954-01-06,36
nla.obj-527657340,,75,3857,1954-01-13,36
nla.obj-527657365,,75,3858,1954-01-20,36
nla.obj-527657387,,75,3859,1954-01-27,36
nla.obj-527657404,,75,3860,1954-02-03,36
nla.obj-527657420,,75,3861,1954-02-10,36
nla.obj-527657448,,75,3862,1954-02-17,36
nla.obj-527657461,,75,3863,1954-02-24,36
nla.obj-527734096,,75,3864,1954-03-03,36
nla.obj-527734118,,75,3865,1954-03-10,36
nla.obj-527734139,,75,3866,1954-03-17,36
nla.obj-527734152,,75,3867,1954-03-24,36
nla.obj-527734171,,75,3868,1954-03-31,36
nla.obj-527734194,,75,3869,1954-04-07,36
nla.obj-527734219,,75,3870,1954-04-14,36
nla.obj-527734235,,75,3871,1954-04-21,36
nla.obj-528031036,,75,3872,1954-04-28,36
nla.obj-528031057,,75,3873,1954-05-05,36
nla.obj-528031073,,75,3874,1954-05-12,36
nla.obj-528031099,,75,3875,1954-05-19,36
nla.obj-528031116,,75,3876,1954-05-26,36
nla.obj-528031134,,75,3877,1954-06-02,36
nla.obj-528031150,,75,3878,1954-06-09,36
nla.obj-528031175,,75,3879,1954-06-16,36
nla.obj-528031191,,75,3880,1954-06-23,36
nla.obj-547494668,,75,3881,1954-06-30,36
nla.obj-528031214,,75,3882,1954-07-07,36
nla.obj-528034291,,75,3883,1954-07-14,36
nla.obj-537028822,,75,3884,1954-07-21,36
nla.obj-528034313,,75,3885,1954-07-28,36
nla.obj-528034444,,75,3886,1954-08-04,36
nla.obj-528034489,,75,3887,1954-08-11,36
nla.obj-528034509,,75,3888,1954-08-18,36
nla.obj-528034630,,75,3889,1954-08-25,36
nla.obj-528034674,,75,3890,1954-09-01,36
nla.obj-528034740,,75,3891,1954-09-08,36
nla.obj-528034848,,75,3892,1954-09-15,36
nla.obj-528034861,,75,3893,1954-09-22,36
nla.obj-528070872,,75,3894,1954-09-29,36
nla.obj-528070895,,75,3895,1954-10-06,36
nla.obj-537036506,,75,3896,1954-10-13,36
nla.obj-528071028,,75,3897,1954-10-20,36
nla.obj-528071066,,75,3898,1954-10-27,36
nla.obj-528071090,,75,3899,1954-11-03,36
nla.obj-528071225,,75,3900,1954-11-10,36
nla.obj-534621597,,75,3901,1954-11-17,36
nla.obj-534621610,,75,3902,1954-11-24,36
nla.obj-534621632,,75,3903,1954-12-01,36
nla.obj-534621664,,75,3904,1954-12-08,36
nla.obj-534621686,CHRISTMAS NUMBER,75,3905,1954-12-15,52
nla.obj-534621701,,75,3906,1954-12-22,36
nla.obj-537038906,,75,3907,1954-12-29,36
nla.obj-672819300,,76,3908,1955-01-05,36
nla.obj-672819453,,76,3909,1955-01-12,36
nla.obj-672819601,,76,3910,1955-01-19,36
nla.obj-672819798,,76,3911,1955-01-26,36
nla.obj-672819952,,76,3912,1955-02-02,68
nla.obj-672820186,,76,3913,1955-02-09,36
nla.obj-672820330,,76,3914,1955-02-16,36
nla.obj-672820484,,76,3915,1955-02-23,36
nla.obj-672880643,,76,3916,1955-03-02,36
nla.obj-672880773,,76,3917,1955-03-09,36
nla.obj-672880813,,76,3918,1955-03-16,36
nla.obj-672880942,,76,3919,1955-03-23,36
nla.obj-672880988,,76,3920,1955-03-30,36
nla.obj-672881057,,76,3921,1955-04-06,36
nla.obj-672881150,,76,3922,1955-04-13,36
nla.obj-675153590,,76,3923,1955-04-20,36
nla.obj-675153614,,76,3924,1955-04-27,36
nla.obj-675153638,,76,3925,1955-05-04,36
nla.obj-675153651,,76,3926,1955-05-11,36
nla.obj-675153672,,76,3927,1955-05-18,36
nla.obj-675153695,,76,3928,1955-05-25,36
nla.obj-675206515,,76,3929,1955-06-01,68
nla.obj-675206531,,76,3930,1955-06-08,36
nla.obj-675206553,,76,3931,1955-06-15,36
nla.obj-675206577,,76,3932,1955-06-22,36
nla.obj-675206590,,76,3933,1955-06-29,36
nla.obj-675206614,,76,3934,1955-07-06,36
nla.obj-675206646,,76,3935,1955-07-13,36
