title,contributor,issued,format,fulltext_url,trove_url,trove_id,fulltext_url_type
Jewish missionary intelligence,London Society for Promoting Christianity Amongst the Jews,1893-1946,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-265488023,https://trove.nla.gov.au/work/10831898,nla.obj-265488023,digitised
The Romsey annual ..,,1800,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-497748158,https://trove.nla.gov.au/work/10833470,nla.obj-497748158,digitised
Report on activities for period ... / Australian Broadcasting Tribunal,Australian Broadcasting Tribunal,1992,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1646668783,https://trove.nla.gov.au/work/10872992,nla.obj-1646668783,digitised
"Report / St. Mary's Hospital, Hobart","St. Mary's Hospital (Hobart, Tas.)",1800,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-569758446,https://trove.nla.gov.au/work/10888103,nla.obj-569758446,digitised
Stanley Gibbons priced catalogue of war stamps,"Phillips, Charles J. (Charles James), 1863-1940",1910,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-18233880,https://trove.nla.gov.au/work/10892341,nla.obj-18233880,digitised
Policy (Centre for Independent Studies),Centre for Independent Studies (Australia),1989-2021,"Periodical | Periodical/Journal, magazine, other | Archived website",https://nla.gov.au/nla.obj-374681727,https://trove.nla.gov.au/work/10902948,nla.obj-374681727,edeposit
Corporate plan / Great Barrier Reef Marine Park Authority,Great Barrier Reef Marine Park Authority,1900-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1645089835,https://trove.nla.gov.au/work/10926029,nla.obj-1645089835,edeposit
Corporate plan / Great Barrier Reef Marine Park Authority,Great Barrier Reef Marine Park Authority,1900-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://www.nla.gov.au/nla.obj-2736274204,https://trove.nla.gov.au/work/10926029,nla.obj-2736274204,edeposit
The Canberra times,Dow Jones Reuters Business Interactive LLC,1900-2021,"Periodical | Periodical/Newspaper | Periodical/Journal, magazine, other | Microform",https://nla.gov.au/nla.obj-2952292142,https://trove.nla.gov.au/work/10934122,nla.obj-2952292142,edeposit
Colonial literary journal and weekly miscellany of useful information,"Reading, James",1844-2021,"Periodical | Periodical/Journal, magazine, other | Microform",https://nla.gov.au/nla.obj-1388274688,https://trove.nla.gov.au/work/10934438,nla.obj-1388274688,digitised
The South Australian temperance advocate,,1841,"Periodical | Periodical/Journal, magazine, other | Microform",https://nla.gov.au/nla.obj-1403589304,https://trove.nla.gov.au/work/10934510,nla.obj-1403589304,digitised
The Port Phillip magazine,,1843-2021,"Periodical | Periodical/Journal, magazine, other | Microform",https://nla.gov.au/nla.obj-1394058185,https://trove.nla.gov.au/work/10934610,nla.obj-1394058185,digitised
Spring exhibition : catalogue / Art Society of New South Wales,Art Society of New South Wales,1800-1902,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-693985683,https://trove.nla.gov.au/work/10944344,nla.obj-693985683,digitised
"The N.S.W. Red Cross record / The Australian Red Cross Society, N.S.W. Division",Australian Red Cross Society. New South Wales Division,1914,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-73519713,https://trove.nla.gov.au/work/10955755,nla.obj-73519713,digitised
Hospital utilisation and costs study,Australian Institute of Health and Welfare,1986-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-291743951,https://trove.nla.gov.au/work/11007814,nla.obj-291743951,edeposit
